Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
33389,84529,Male,disloyal Customer,36,Business travel,Business,2399,2,2,2,3,2,2,2,2,4,4,3,4,5,2,0,0.0,neutral or dissatisfied
19042,6190,Female,Loyal Customer,22,Personal Travel,Eco,409,0,1,0,3,2,0,2,2,2,2,3,1,3,2,0,0.0,satisfied
83312,124550,Male,Loyal Customer,45,Personal Travel,Eco,1276,2,5,2,4,3,2,3,3,3,2,5,4,4,3,0,3.0,neutral or dissatisfied
9364,59360,Male,Loyal Customer,27,Business travel,Business,2486,1,0,0,3,5,0,5,5,4,4,2,1,4,5,0,0.0,neutral or dissatisfied
54128,58500,Male,Loyal Customer,41,Business travel,Business,719,1,1,1,1,4,5,4,4,4,5,4,3,4,5,0,0.0,satisfied
3428,59467,Female,Loyal Customer,53,Business travel,Business,758,5,5,5,5,4,5,5,4,4,4,4,4,4,5,0,0.0,satisfied
80357,50576,Female,Loyal Customer,10,Personal Travel,Eco,326,2,1,2,2,2,2,2,2,2,3,1,2,3,2,0,0.0,neutral or dissatisfied
84097,113082,Female,disloyal Customer,24,Business travel,Eco,543,2,2,2,3,5,2,2,5,2,2,3,3,3,5,0,0.0,neutral or dissatisfied
10705,17585,Female,Loyal Customer,18,Personal Travel,Eco,852,3,5,3,2,3,3,3,3,5,2,4,4,5,3,0,0.0,neutral or dissatisfied
63234,44191,Female,disloyal Customer,33,Business travel,Eco,128,3,1,3,3,1,3,1,1,2,5,3,2,4,1,0,0.0,neutral or dissatisfied
100523,8760,Female,Loyal Customer,33,Personal Travel,Eco,1147,0,5,0,5,5,0,5,5,5,2,5,5,4,5,0,0.0,satisfied
73286,52912,Female,disloyal Customer,27,Business travel,Eco,679,2,2,2,4,2,2,2,2,3,2,3,3,4,2,13,0.0,neutral or dissatisfied
13321,101719,Female,Loyal Customer,64,Personal Travel,Eco,986,4,4,4,4,4,2,4,5,2,5,4,4,5,4,134,121.0,neutral or dissatisfied
12213,107552,Female,disloyal Customer,35,Business travel,Eco,934,1,1,1,4,1,1,1,1,4,5,4,2,3,1,17,10.0,neutral or dissatisfied
42925,95809,Male,Loyal Customer,31,Personal Travel,Eco,1050,3,4,3,3,5,3,4,5,5,3,4,5,5,5,0,0.0,neutral or dissatisfied
73323,40,Male,Loyal Customer,51,Business travel,Business,212,2,2,2,2,2,4,4,5,5,4,4,3,5,5,0,0.0,satisfied
78352,22219,Female,disloyal Customer,72,Business travel,Eco Plus,533,4,4,4,4,3,4,3,3,3,1,5,1,5,3,0,0.0,neutral or dissatisfied
88820,48002,Male,Loyal Customer,27,Business travel,Eco Plus,834,1,4,4,4,1,1,1,1,3,1,4,1,3,1,0,23.0,neutral or dissatisfied
89427,62271,Male,Loyal Customer,54,Business travel,Business,2543,5,5,5,5,2,4,5,4,4,4,4,3,4,4,0,0.0,satisfied
91810,39504,Male,Loyal Customer,23,Business travel,Business,852,5,5,4,5,5,5,5,5,5,4,2,3,2,5,0,0.0,satisfied
103421,57231,Male,Loyal Customer,22,Personal Travel,Eco,1514,4,2,4,4,3,4,3,3,3,4,3,4,4,3,0,0.0,neutral or dissatisfied
35239,75032,Female,Loyal Customer,33,Personal Travel,Eco,236,2,1,2,3,1,2,1,1,1,2,3,3,3,1,0,0.0,neutral or dissatisfied
94024,41206,Male,Loyal Customer,43,Business travel,Eco,1091,3,5,5,5,3,3,3,2,1,4,3,3,4,3,173,170.0,neutral or dissatisfied
85879,127899,Male,Loyal Customer,41,Business travel,Business,1671,1,1,2,1,3,5,5,5,5,5,5,5,5,4,0,0.0,satisfied
30238,33553,Female,Loyal Customer,39,Business travel,Business,3084,2,2,2,2,1,4,3,3,3,5,3,1,3,4,44,42.0,satisfied
27376,90947,Male,Loyal Customer,38,Business travel,Eco,366,5,1,1,1,5,5,5,5,3,1,1,2,2,5,0,0.0,satisfied
96868,11618,Female,Loyal Customer,35,Personal Travel,Eco,657,4,5,4,3,5,4,5,5,5,1,4,4,4,5,0,0.0,neutral or dissatisfied
96618,92284,Female,Loyal Customer,12,Personal Travel,Eco,2036,3,5,3,3,1,3,4,1,4,3,3,4,5,1,16,0.0,neutral or dissatisfied
54352,71224,Male,Loyal Customer,24,Business travel,Business,2941,2,2,2,2,3,3,3,3,4,2,5,3,5,3,0,0.0,satisfied
98511,24278,Female,Loyal Customer,46,Personal Travel,Eco,170,1,5,1,2,2,5,4,4,4,1,4,3,4,3,0,0.0,neutral or dissatisfied
29543,125131,Female,Loyal Customer,7,Personal Travel,Eco,361,1,5,4,2,4,4,4,4,3,3,4,3,5,4,17,13.0,neutral or dissatisfied
48272,30510,Female,Loyal Customer,70,Personal Travel,Eco,1620,3,4,3,4,5,3,5,5,5,3,5,5,5,3,0,0.0,neutral or dissatisfied
77980,86457,Female,disloyal Customer,18,Business travel,Eco,762,5,5,5,1,2,5,2,2,4,2,5,3,4,2,0,0.0,satisfied
75109,59969,Male,Loyal Customer,45,Business travel,Eco,537,5,5,4,4,5,5,5,5,1,4,2,1,5,5,0,0.0,satisfied
98121,39494,Male,Loyal Customer,44,Business travel,Business,1368,1,3,3,3,2,3,3,1,1,1,1,3,1,4,0,0.0,neutral or dissatisfied
62963,4799,Female,Loyal Customer,29,Personal Travel,Eco,403,5,5,5,3,4,5,4,4,5,2,4,3,5,4,0,0.0,satisfied
60484,25035,Male,Loyal Customer,50,Personal Travel,Eco,907,3,1,3,3,2,3,2,2,1,4,4,4,4,2,0,8.0,neutral or dissatisfied
50538,78236,Female,Loyal Customer,49,Business travel,Business,259,0,0,0,2,2,4,4,5,5,5,5,3,5,5,0,0.0,satisfied
22866,7093,Male,disloyal Customer,22,Business travel,Eco,273,1,0,1,3,1,1,1,1,4,3,4,5,5,1,1,0.0,neutral or dissatisfied
7673,107404,Female,Loyal Customer,28,Business travel,Eco,468,2,2,2,2,2,2,2,2,3,2,4,4,4,2,30,21.0,neutral or dissatisfied
